date,Hole Depth (MD) m,Bit Depth (MD) m,Block Position m,Mud Flow In L/min,Average Standpipe Pressure kPa,Average Hookload kkgf,Average Surface Torque kN.m,Average Rotary Speed rpm,Weight on Bit kkgf,Rate of Penetration m/h
2007-10-23 08:09:40,1367.330362,1367.219971,17.38999946,3516.110106,17127.99988,123.9363097,9.149999097,128,1.519377043,20.235672
2007-10-23 08:09:44,1367.384717,1367.33915,17.35833369,3516.309976,17085.49983,124.5889258,9.034999975,129.6666667,0.875256297,20.235672
2007-10-23 08:09:48,1367.40077,1367.290039,17.3199997,3516.110106,16949.00055,125.1191761,9.219999978,130,0.346703328,20.235672
2007-10-23 08:09:52,1367.4471,1367.4471,17.29333305,3516.160073,16985.00061,125.0138063,9.07666652,130,0.452074045,20.235672
2007-10-23 08:09:56,1367.46996,1367.419978,17.25333309,3516.235025,17039.0007,124.8557515,8.861666333,130,0.610130121,20.235672
2007-10-23 08:10:00,1367.51507,1367.452543,17.22499949,3516.372436,17102.00005,124.6807039,9.262500465,130,0.785181319,20.7300576
2007-10-23 08:10:04,1367.53854,1367.53854,17.1949997,3516.484985,17155.50003,124.405378,9.470000605,129.5,1.060504858,20.7300576
2007-10-23 08:10:08,1367.561095,1367.511796,17.16249987,3516.485047,17189.00032,124.1504467,9.427500119,129.5,1.315434089,20.7300576
2007-10-23 08:10:12,1367.595233,1367.538393,17.13249977,3516.112487,17144.00025,124.1555485,9.129999088,130.5,1.310335484,20.7300576
2007-10-23 08:10:16,1367.606815,1367.5,17.11000073,3515.669923,17053.99933,124.3543889,9.069999059,129,1.111490908,20.7300576
2007-10-23 08:10:20,1367.664727,1367.664727,17.07000076,3515.819947,17088.49945,124.2830092,9.279999668,129,1.182870925,21.288756
2007-10-23 08:10:24,1367.676614,1367.579956,17.03000079,3515.96997,17122.99957,124.2116294,9.490000276,129,1.254250942,21.288756
2007-10-23 08:10:28,1367.722944,1367.66146,17.00750015,3515.857544,17177.7504,124.2269283,9.399999725,129.75,1.238955127,21.288756
2007-10-23 08:10:32,1367.746109,1367.693062,16.96999939,3515.489928,17143.49975,124.1096594,9.542500259,129.25,1.356222703,21.288756
2007-10-23 08:10:36,1367.793048,1367.731546,16.9450003,3515.379881,17057.75032,123.977099,9.337500246,129.75,1.48878564,21.4522812
2007-10-23 08:10:40,1367.816213,1367.816213,16.91500005,3515.599975,17103.50037,124.1861388,9.084999829,130,1.27974374,21.9428568
2007-10-23 08:10:44,1367.839835,1367.786709,16.88499981,3515.857544,17155.75027,124.4818537,9.02749959,130,0.984026123,21.9428568
2007-10-23 08:10:48,1367.875496,1367.813763,16.86000065,3516.04248,17080.25056,124.8107142,9.392500018,129.5,0.652618496,21.9428568
2007-10-23 08:10:52,1367.887536,1367.780029,16.82999987,3516.260008,17000,125.2925341,9.520000459,128,0.163154454,21.9428568
2007-10-23 08:10:56,1367.942908,1367.891223,16.81166645,3516.485026,17015.66671,124.9764206,9.446666301,129.5,0.48606467,23.3952288
2007-10-23 08:11:00,1367.958554,1367.849975,16.76000011,3516.409911,17050,125.3129249,9.359999028,129,0.142760487,24.8476008
2007-10-23 08:11:04,1368.004884,1367.942445,16.7374997,3516.634949,17047.75009,124.815812,9.187500344,129.75,0.647520005,24.8476008
2007-10-23 08:11:08,1368.028658,1367.974351,16.70000039,3516.597534,17050.75035,124.3365479,9.054999984,130,1.129335686,24.8476008
2007-10-23 08:11:12,1368.076207,1368.008074,16.67500015,3516.335021,17127.75002,124.3467472,8.88750054,130,1.119138589,24.8476008
2007-10-23 08:11:16,1368.102725,1368.102725,16.64500044,3516.33496,17142.50031,124.5685324,8.910000339,130,0.897350404,24.8476008
2007-10-23 08:11:20,1368.129548,1368.07318,16.61000064,3516.33496,17086.00044,124.7367828,9.182499749,129.75,0.729097232,25.9357368
2007-10-23 08:11:24,1368.169933,1368.106763,16.57000014,3516.075072,16921.99974,124.7520798,9.814999668,129,0.713801303,25.9357368
2007-10-23 08:11:28,1368.183497,1368.069946,16.54000096,3515.96997,16844.00025,124.9356272,9.890000466,129,0.530252202,25.9357368
2007-10-23 08:11:32,1368.24527,1368.199751,16.49833358,3516.088337,17087.16634,124.9305314,9.411666086,129.1666667,0.528552894,26.4510012
2007-10-23 08:11:36,1368.262745,1368.150024,16.45000083,3515.520021,17063.00049,125.1497741,9.13999994,130,0.316112151,26.9662656
2007-10-23 08:11:40,1368.317304,1368.253623,16.4275002,3515.745056,17004.50058,124.6832534,9.469999589,130,0.774984223,26.9662656
2007-10-23 08:11:44,1368.341993,1368.280982,16.39749957,3515.932495,17068.25066,124.6042243,9.684999776,130,0.851462845,26.9662656
2007-10-23 08:11:48,1368.395942,1368.327976,16.35249989,3515.96997,17128.25013,124.560883,9.7500004,130,0.902448668,27.202638
2007-10-23 08:11:52,1368.422765,1368.422765,16.32499977,3515.96997,17094.9997,124.3492933,9.965000247,130,1.11658906,27.9117552
2007-10-23 08:11:56,1368.448673,1368.38231,16.30249981,3515.96997,16994.49959,124.3671403,10.05249999,130,1.098744056,27.9117552
2007-10-23 08:12:00,1368.487383,1368.41507,16.26750046,3515.96997,16903.49999,125.0350531,9.582499939,130,0.430830084,27.9117552
2007-10-23 08:12:04,1368.500184,1368.380005,16.22999954,3515.96997,17138.99994,125.1803643,9.229999135,130,0.285520521,27.9117552
2007-10-23 08:12:08,1368.55962,1368.515838,16.19000028,3515.96997,17102.66648,124.72319,9.101666899,130.5,0.740993863,28.3774896
2007-10-23 08:12:12,1368.576079,1368.459961,16.1499996,3515.96997,16964.99939,124.5175475,9.499999433,129,0.938138791,28.843224
2007-10-23 08:12:16,1368.62759,1368.55879,16.12750056,3515.857544,17051.99967,124.8464062,9.784999823,130.5,0.616928375,28.843224
2007-10-23 08:12:20,1368.653498,1368.591764,16.0900001,3515.70746,17128.99971,124.7724783,9.917499844,130.25,0.693406996,28.843224
2007-10-23 08:12:24,1368.701962,1368.635954,16.05000067,3516.000061,17157.74956,124.3824372,9.705000463,130,1.075800673,28.9092132
2007-10-23 08:12:28,1368.728174,1368.728174,16.02000042,3516.335082,17018.00003,123.8598299,9.465000349,129.5,1.600954497,29.1071808
2007-10-23 08:12:32,1368.753168,1368.689069,15.98999995,3516.597534,16899.00055,123.5641094,9.314999769,129.25,1.90177072,29.1071808
2007-10-23 08:12:36,1368.790964,1368.726895,15.95000005,3516.634949,17015.50026,124.1275022,9.299999339,130,1.338377584,29.1071808
2007-10-23 08:12:40,1368.803765,1368.689942,15.91999996,3516.409911,17139.99939,124.7622769,9.120000269,130,0.70360432,29.1071808
2007-10-23 08:12:44,1368.862794,1368.817896,15.88000009,3516.336588,17057.83361,124.9050367,9.50333339,130,0.560843832,29.3062152
2007-10-23 08:12:48,1368.87905,1368.76001,15.84000002,3515.96997,17122.99957,124.6399163,9.939998964,130,0.825969933,29.5052496
2007-10-23 08:12:52,1368.934219,1368.872139,15.81000016,3515.96997,17187.49962,124.8999411,9.842500062,129.25,0.55829453,29.5052496
2007-10-23 08:12:56,1368.961042,1368.910514,15.76249997,3515.96997,17170.75005,124.4283187,9.435000504,129,1.027364265,29.5052496
2007-10-23 08:13:00,1369.013467,1368.941731,15.73499962,3515.96997,17005.75027,124.3034039,9.340000035,129.75,1.159927203,29.6062908
2007-10-23 08:13:04,1369.03907,1369.03907,15.70499999,3515.96997,16988.50021,124.5685324,9.565000057,130,0.892251572,29.9094144
2007-10-23 08:13:08,1369.064521,1369.010013,15.67000041,3516.04248,17072.75009,124.8820961,9.792500208,129.75,0.576139534,29.9094144
2007-10-23 08:13:12,1369.103688,1369.038683,15.62750025,3516.297484,17193.99986,124.9407265,9.812500217,129,0.525153824,29.9094144
2007-10-23 08:13:16,1369.117404,1369.020019,15.59000001,3516.409911,17100.99945,124.4971485,9.760000574,129,0.968730421,29.9094144
2007-10-23 08:13:20,1369.184156,1369.184156,15.55500029,3516.039917,17166.50009,124.6603068,9.240000327,129,0.800477135,30.321504
2007-10-23 08:13:24,1369.197262,1369.079956,15.52000056,3515.669923,17232.00073,124.8234651,8.720000079,129,0.632223849,30.321504
2007-10-23 08:13:28,1369.25243,1369.186213,15.49749992,3515.894959,17213.25073,124.5251931,8.952499809,129.75,0.938138791,30.321504
2007-10-23 08:13:32,1369.278338,1369.224191,15.4524997,3515.96997,17000.75073,124.0357318,9.307499723,129.25,1.430152022,30.321504
2007-10-23 08:13:36,1369.330764,1369.250404,15.43250025,3515.744935,16919.24973,124.1428015,9.415000495,129,1.32308177,30.737556
2007-10-23 08:13:40,1369.357586,1369.357586,15.40000019,3515.669923,17012.5,124.237124,9.465000349,130,1.228758144,30.737556
2007-10-23 08:13:44,1369.384104,1369.325306,15.35666662,3515.694947,17102.66724,124.191236,9.541666656,130.6666667,1.274645513,30.737556
2007-10-23 08:13:48,1369.43653,1369.43653,15.31666665,3515.77002,17080.66711,124.0076867,9.636666786,129.6666667,1.458194387,30.737556
2007-10-23 08:13:52,1369.43653,1369.319946,15.29,3515.820068,17066.00036,123.8853205,9.700000206,129,1.580560303,30.737556
2007-10-23 08:13:56,1369.495153,1369.446099,15.25666693,3515.968342,17124.49952,124.3951799,9.381667032,129.6666667,1.070702068,31.0594248
2007-10-23 08:14:00,1369.511206,1369.400024,15.21000006,3516.110106,17108.99964,124.4563669,9.470000605,129,1.009519261,31.0594248
2007-10-23 08:14:04,1369.566679,1369.493362,15.19499979,3516.33496,17096.24978,124.5251951,9.695000967,128.25,0.940688093,31.0594248
2007-10-23 08:14:08,1369.591978,1369.530975,15.15250015,3516.079956,16976.50031,124.2957565,9.267500721,128.75,1.170124299,31.0594248
2007-10-23 08:14:12,1369.648975,1369.648975,15.11000026,3516.016682,16978.00038,124.2388224,9.136666888,128.6666667,1.227058533,31.4023248
2007-10-23 08:14:16,1369.673969,1369.673969,15.08000022,3516.063394,17018.00028,124.2660154,9.173333176,128.3333333,1.199866124,31.4023248
2007-10-23 08:14:20,1369.701554,1369.644599,15.04000023,3516.185058,17069.25011,124.4053779,9.282499457,128.25,1.057955669,31.4023248
2007-10-23 08:14:24,1369.74194,1369.677359,15.00250014,3516.33496,17116.74996,124.7622809,9.549999626,129.25,0.69340711,31.4023248
2007-10-23 08:14:28,1369.754741,1369.630005,14.9799995,3516.110106,17158.00019,124.8234651,9.700000206,130,0.632223849,31.4407296
2007-10-23 08:14:32,1369.819663,1369.776276,14.93000022,3515.993326,17121.167,124.5940242,9.376666098,130,0.863359779,31.4407296
2007-10-23 08:14:36,1369.838561,1369.719971,14.88000011,3515.96997,16972.99958,124.8744467,9.639999839,130,0.591435463,31.4407296
2007-10-23 08:14:40,1369.892815,1369.826413,14.85750039,3515.96997,16945.99953,124.797969,9.527500167,129.25,0.667914199,31.4407296
2007-10-23 08:14:44,1369.920247,1369.865153,14.81250025,3515.96997,16958.75015,124.7342348,9.647500224,129.75,0.731646307,31.4963556
2007-10-23 08:14:48,1369.974197,1369.907082,14.77750044,3515.96997,17038.75046,124.7367865,9.557500011,129.25,0.729096891,31.5519816
2007-10-23 08:14:52,1370.002238,1370.002238,14.74500038,3515.96997,17072.00013,124.7214915,9.469999927,129.5,0.744392707,31.5519816
2007-10-23 08:14:56,1370.029061,1369.972949,14.71000027,3515.96997,17089.74992,124.6577593,9.449999918,130,0.80557574,31.5519816
2007-10-23 08:15:00,1370.069904,1370.001985,14.6725002,3516.04248,17105.75028,124.5608867,9.415000155,130,0.897350177,31.5519816
2007-10-23 08:15:04,1370.083925,1369.959961,14.64999955,3516.260008,17075,124.6603071,9.130000782,130,0.805575967,31.6912752
2007-10-23 08:15:08,1370.149762,1370.102889,14.60999969,3516.460042,17062.66632,124.6806992,8.695000152,129.3333333,0.785181546,31.6912752
2007-10-23 08:15:12,1370.16805,1370.030029,14.56999961,3516.260008,16997.00012,124.2524191,8.6000007,130,1.213462555,31.6912752
2007-10-23 08:15:16,1370.222609,1370.146278,14.54749989,3516.04248,16985.75058,124.1071133,8.54750004,130,1.358771779,31.771971
2007-10-23 08:15:20,1370.250041,1370.190023,14.49499962,3515.96997,16993.25027,124.1198569,9.625000086,130,1.338377359,32.0140584
2007-10-23 08:15:24,1370.303381,1370.236713,14.44999963,3515.96997,17101.25008,124.1708418,9.892500256,130,1.284842459,32.0140584
2007-10-23 08:15:28,1370.331727,1370.331727,14.41999961,3515.96997,17075,124.2116294,9.609999655,129.5,1.249152337,32.0140584
2007-10-23 08:15:32,1370.359769,1370.298885,14.39249964,3515.96997,17046.24978,124.2677141,9.369999202,129,1.198166401,32.0140584
2007-10-23 08:15:36,1370.401222,1370.327312,14.35749984,3516.005004,17115.4995,124.2396758,9.334999778,129,1.226208615,32.2163694
2007-10-23 08:15:40,1370.414633,1370.290039,14.3199996,3516.110106,17033.00018,123.9261102,9.13999994,129,1.539771463,32.2838064
2007-10-23 08:15:44,1370.48179,1370.437699,14.27333356,3516.28662,17056.33341,124.3951801,8.838333384,129,1.063903776,32.2838064
2007-10-23 08:15:48,1370.500891,1370.369995,14.23999966,3515.96997,17072.99957,124.7010968,8.689999895,129,0.764787127,32.2838064
2007-10-23 08:15:52,1370.556365,1370.488205,14.20249966,3515.857544,17036.9999,124.5404921,9.170000124,129.75,0.925392505,32.4532752
2007-10-23 08:15:56,1370.583187,1370.526579,14.15250012,3515.595033,17120.25033,124.6169697,9.359999706,129.25,0.848913883,32.4532752
2007-10-23 08:16:00,1370.63927,1370.57464,14.10250027,3515.745056,17127.25029,124.5608867,9.167500335,129,0.904998085,32.4532752
2007-10-23 08:16:04,1370.668531,1370.668531,14.07000021,3515.820068,17102.00043,124.4767578,9.005000469,129.5,0.98402601,32.4532752
2007-10-23 08:16:08,1370.695354,1370.641117,14.04500005,3515.745056,17095.75043,124.4104739,8.992500167,129.75,1.045209043,32.6894952
2007-10-23 08:16:12,1370.73574,1370.66463,14.01499989,3515.557496,17096.24978,124.3187011,9.319999686,129,1.139533009,32.6894952
2007-10-23 08:16:16,1370.749303,1370.630005,13.9700002,3515.669923,17000.99945,124.1810391,9.559999801,129,1.284842572,32.6894952
2007-10-23 08:16:20,1370.813921,1370.769213,13.93833306,3515.619996,17048.1664,124.4852547,9.908332932,129.8333333,0.972129491,32.6894952
2007-10-23 08:16:24,1370.833428,1370.699951,13.89999953,3515.96997,17052.00043,125.1497741,9.890000466,130,0.305914941,32.779716
2007-10-23 08:16:28,1370.889511,1370.814751,13.87749981,3515.96997,17054.25034,124.9126862,9.732500519,130,0.542999055,32.779716
2007-10-23 08:16:32,1370.916029,1370.848029,13.83999981,3515.96997,17098.50044,124.1529969,9.087500635,130.75,1.302687463,32.779716
2007-10-23 08:16:36,1370.966626,1370.893286,13.79999991,3516.075072,17094.25049,123.9872945,8.994999955,130.25,1.476039241,32.779716
2007-10-23 08:16:40,1370.993753,1370.993753,13.7649998,3516.260009,17110.50033,124.0382795,9.164999867,129.5,1.427602832,32.779716
2007-10-23 08:16:44,1371.021642,1370.954758,13.73249974,3516.409911,17096.00029,124.1427995,9.302500145,129,1.323081997,32.8382376
2007-10-23 08:16:48,1371.063857,1370.989103,13.70000006,3516.299926,17003.25051,124.4563631,9.437500293,129,1.009519148,32.8382376
2007-10-23 08:16:52,1371.078182,1370.939941,13.67000019,3515.96997,17058.00018,124.7316871,9.819999585,129,0.734195496,32.8382376
2007-10-23 08:16:56,1371.141886,1371.080549,13.64499978,3515.818279,16993.16635,124.5277429,9.529999617,129.6666667,0.936439332,32.9159616
2007-10-23 08:17:00,1371.170842,1371.096979,13.59166706,3516.235025,17098.50057,124.4155749,9.593333263,129.1666667,1.041810049,32.9936856
2007-10-23 08:17:04,1371.206503,1371.128276,13.55833352,3516.13509,17152.50041,124.4563616,9.726667112,129.8333334,1.007819651,32.9936856
2007-10-23 08:17:08,1371.232411,1371.166194,13.52000027,3516.222533,17116.5001,124.4130236,9.65500027,130,1.045209157,32.9936856
2007-10-23 08:17:12,1371.284227,1371.284227,13.48000027,3516.163329,17086.00006,124.7690741,9.750000062,130,0.710402309,32.9936856
2007-10-23 08:17:16,1371.311964,1371.311964,13.45000023,3516.066649,17072.00012,125.1429696,9.879999956,130,0.360299759,32.7806304
2007-10-23 08:17:20,1371.338939,1371.272984,13.41500002,3515.96997,17069.49997,125.4174428,9.89249992,129.75,0.091774551,32.7806304
2007-10-23 08:17:24,1371.380392,1371.302416,13.39249961,3516.04248,17077.49939,124.9407267,9.54000013,128.75,0.517506144,32.7806304
2007-10-23 08:17:28,1371.39487,1371.22998,13.36999988,3516.260008,16997.99957,124.4053782,9.54000013,128,1.060504858,32.7806304
2007-10-23 08:17:32,1371.461926,1371.404443,13.31999978,3516.211668,17047.33327,124.5464379,9.595000015,128.8333333,0.919443981,32.7992232
2007-10-23 08:17:36,1371.480823,1371.339966,13.27000049,3515.96997,17141.99982,124.6806979,9.670000022,129,0.785181547,32.817816
2007-10-23 08:17:40,1371.535078,1371.535078,13.24666693,3515.96997,17111.00006,124.7996668,9.803333418,129,0.662815631,32.817816
2007-10-23 08:17:44,1371.563119,1371.486577,13.21166659,3515.96997,17064.50043,124.9781203,10.00333351,129,0.479266756,32.817816
