date,Average Hookload kkgf,Hole depth (MD) m,Weight on Bit kkgf,Block Position m,Average Rotary Speed rpm,Average Surface Torque kN.m,Bit Depth (MD) m,Average Standpipe Pressure kPa,Mud Flow In L/min,Rate of Penetration m/h
2007-07-06 19:23:45,105.95991475,376.08260444999996,-0.96008495,40.6676352,89.0,0.005084317499999999,376.02713085,407.98218055,2968.74343,2.7495150749999997
2007-07-06 19:24:00,105.8615986,376.10260695,-0.86176880375,40.621915200000004,89.0,0.0071180445,376.07273655,408.806965875,2968.74343,8.248545225
2007-07-06 19:24:15,105.7747721,376.15040205,-0.7748937149999999,40.5463248,89.0,0.009030716250000001,376.14826845,409.496595475,2968.74343,15.776979359999999
2007-07-06 19:24:30,105.8649924,376.28269747499996,-0.86487105175,40.4122128,89.0,0.0077475315,376.28269747499996,408.545888475,2968.74343,24.0909892275
2007-07-06 19:24:45,105.902025,376.4007585,-0.9017983310000001,40.2943695,89.0,0.006609612666666667,376.4007585,407.71457776666665,2968.74343,29.3487348
2007-07-06 19:25:00,105.8020079,376.50917204999996,-0.80197966,40.18595595,89.0,0.0060164425,376.50917204999996,407.183681475,2968.74343,29.420743799999997
2007-07-06 19:25:15,105.7377112,376.636359375,-0.73786721325,40.0587359675,89.0,0.0056109075,376.636359375,406.6884902,2968.74343,29.5182743575
2007-07-06 19:25:30,105.8734487,376.7766912,-0.8736189045,39.9182408575,89.0,0.00629486925,376.7766912,406.63948815,2968.74343,29.6767431425
2007-07-06 19:25:45,105.9684196,376.8959823,-0.968589807,39.7988409,89.0,0.006779089999999999,376.8959823,407.5516891666667,2968.74343,29.7653964
2007-07-06 19:26:00,105.96742735000001,377.00412915000004,-0.9675975735,39.69069405,89.0,0.00677909,377.00412915000004,410.77024805,2968.74343,29.7179238
2007-07-06 19:26:15,105.955230975,377.130872875,-0.9554012035,39.5639503175,89.0,0.00663382375,377.130872875,413.01870840000004,2968.74343,29.6582973
2007-07-06 19:26:30,105.89878505,377.27020595,-0.8989552785,39.424617257499996,89.0,0.00590749275,377.27020595,409.54759824999996,2968.74343,29.577182399999998
2007-07-06 19:26:45,105.8427178,377.38857720000004,-0.842888022,39.306246,89.0,0.005592749333333333,377.38857720000004,407.6585578666666,2968.74343,29.516831999999997
2007-07-06 19:27:00,105.778024225,377.49579059999996,-0.77819441,39.1990326,89.0,0.0061859194999999995,377.49579059999996,409.68260005,2968.74343,29.4869616
2007-07-06 19:27:15,105.699483875,377.621798175,-0.69965408075,39.073025015,89.0,0.0065914545,377.621798175,411.43426850000003,2968.74343,29.459061515000002
2007-07-06 19:27:30,105.602524475,377.761717725,-0.60269466175,38.933105485,89.0,0.00590749275,377.761717725,410.9398467,2968.74343,29.456111485
2007-07-06 19:27:45,105.5469756,377.849892,-0.547145796,38.814108299999994,89.0,0.005592749333333333,377.81819279999996,410.8094619333333,2968.74343,29.44529925
2007-07-06 19:28:00,105.56801095,377.849892,-0.5681811425000001,38.70622815,89.0,0.0061859194999999995,377.70724559999996,411.844106475,2968.74343,29.409361425
2007-07-06 19:28:15,105.5500252,377.849892,-0.55014679625,38.579797382500004,89.0,0.0067367207499999995,377.63047955,412.7885959,2968.74343,29.3671894875
2007-07-06 19:28:30,105.363934825,377.849892,-0.3638134805,38.4408099425,89.0,0.00677909,377.75383645,412.7812394,2968.74343,29.320617
2007-07-06 19:28:45,105.21182746666666,377.8727393,-0.211600841,38.32479,89.0,0.006609612666666667,377.86989449999993,413.7293916333333,2968.74343,29.2328727
2007-07-06 19:29:00,105.11716845000001,377.96977365,-0.11714023,38.2250442,89.0,0.0060164425,377.96977365,417.23753039999997,2968.74343,29.028447149999998
2007-07-06 19:29:15,105.01041425,378.08325585,-0.0105217235,38.1116205,89.0,0.0053203750000000005,378.08325585,421.040266075,2968.74343,28.3807049675
2007-07-06 19:29:30,104.909370475,378.194076525,0.090750873,38.0004828,89.0,0.00455167475,378.194076525,424.0167389,2968.74343,26.076510857499997
2007-07-06 19:29:45,104.81805259999999,378.28514640000003,0.18217403533333335,37.9091571,89.0,0.004406408666666667,378.28514640000003,425.5521767,2968.74343,24.2647851
2007-07-06 19:30:00,104.7184324,378.36195599999996,0.28159581325,37.83221415,89.0,0.00559274925,378.36195599999996,424.5657955,2968.74343,23.26612695
2007-07-06 19:30:15,104.608480825,378.45062015,0.391363142,37.7434261825,89.0,0.006694351249999999,378.45062015,423.96973760000003,2968.74343,22.1358373825
2007-07-06 19:30:30,104.514129525,378.54281125,0.48570023025,37.6512255425,89.0,0.00677909,378.54281125,425.49861922499997,2968.74343,21.0496839425
2007-07-06 19:30:45,104.45166339999999,378.6188643,0.5481663796666667,37.5751344,89.0,0.006779089999999999,378.6188643,426.05807953333334,2968.74343,20.1639297
2007-07-06 19:31:00,104.43658145,378.68273895,0.563248326,37.5111264,89.0,0.00677909,378.68273895,424.2844032,2968.74343,19.43170485
2007-07-06 19:31:15,104.3561417,378.757302,0.64368807275,37.436439515000004,89.0,0.00677909,378.757302,422.708335575,2968.74343,18.64234769
2007-07-06 19:31:30,104.022888975,378.838118925,0.976940767,37.355613085,89.0,0.00677909,378.838118925,422.936231925,2968.74343,18.042875485
2007-07-06 19:31:45,103.76560490000001,378.9054144,1.234224839,37.2883176,89.0,0.006609612666666667,378.9054144,424.0680802,2968.74343,17.6780952
2007-07-06 19:32:00,103.64018665,378.9630216,1.35964312925,37.2307104,89.0,0.0060164425,378.9630216,427.202178375,2968.74343,17.6780952
2007-07-06 19:32:15,103.54686004999999,379.03026265,1.452969759,37.1634040275,89.0,0.0053203750000000005,379.03026265,429.88193045,2968.74343,17.550503742500002
2007-07-06 19:32:30,103.653567625,379.10312075,1.34626215375,37.0902193725,89.0,0.00455167475,379.10312075,428.953385175,2968.74343,16.9125464575
2007-07-06 19:32:45,103.62192953333333,379.1654088,1.377956921,37.0278279,89.0,0.004575885666666667,379.1654088,427.93172986666667,2968.74343,16.3748847
2007-07-06 19:33:00,103.241308875,379.22301600000003,1.75877606475,36.970620749999995,89.0,0.0063553970000000005,379.22301600000003,427.0448917,2968.74343,15.98163555
2007-07-06 19:33:15,102.97355575,379.2895386,2.02671348275,36.90440431,89.0,0.008007799999999999,379.2895386,426.838233625,2968.74343,15.61654094
2007-07-06 19:33:30,103.374770325,379.3588044,1.62551305675,36.834840514999996,89.0,0.008134908,379.3588044,429.85906075,2968.74343,15.588778285
